name|weight|mass|A|d|bf|tw|tf|kdes|Ix|Zx|Sx|rx|Iy|Zy|Sy|ry|J|Cw|Wno|Sw1|Qf|Qw|rts|T|WGi
 |lbf/ft|lbm/ft|in²|in|in|in|in|in|in⁴|in³|in³|in|in⁴|in³|in³|in|in⁴|in⁶|in²|in⁴|in³|in³|in|in|in
HP18X204|204|204|60.2|18.3|18.1|1.13|1.13|2.31|3480|433|380|7.6|1120|191|124|4.31|29.5|82500|77.7|397|82.3|212|5.03|13.5|7.5
HP18X181|181|181|53.2|18|18|1|1|2.18|3020|379|336|7.53|974|167|108|4.28|20.7|70400|76.5|344|72.3|185|4.96|13.5|7.5
HP18X157|157|157|46.2|17.7|17.9|0.87|0.87|2.05|2570|327|290|7.46|833|143|93.1|4.25|13.9|59000|75.3|293|62.3|159|4.92|13.5|7.5
HP18X135|135|135|39.9|17.5|17.8|0.75|0.75|1.93|2200|281|251|7.43|706|122|79.3|4.21|9.12|49500|74.5|249|53.5|136|4.85|13.5|7.5
HP16X183|183|183|54.1|16.5|16.3|1.13|1.13|2.31|2510|349|304|6.81|818|156|100|3.89|26.9|48300|62.2|285|65.4|169|4.55|11.75|5.5
HP16X162|162|162|47.7|16.3|16.1|1|1|2.18|2190|306|269|6.78|697|134|86.6|3.82|18.8|40800|61.6|248|57.8|149|4.45|11.75|5.5
HP16X141|141|141|41.7|16|16|0.875|0.875|2.06|1870|264|234|6.7|599|116|74.9|3.79|12.9|34300|60.5|212|50|128|4.4|11.75|5.5
HP16X121|121|121|35.8|15.8|15.9|0.75|0.75|1.93|1590|226|201|6.66|504|97.6|63.4|3.75|8.35|28500|59.8|178|42.8|109|4.34|11.75|5.5
HP16X101|101|101|29.9|15.5|15.8|0.625|0.625|1.81|1300|187|168|6.59|412|80.1|52.2|3.71|5.07|22800|58.8|145|35.3|89.3|4.27|11.75|5.5
HP16X88|88|88|25.8|15.3|15.7|0.54|0.54|1.72|1110|161|145|6.56|349|68.2|44.5|3.68|3.45|19000|57.9|123|30.2|76.2|4.21|11.75|5.5
HP14X117|117|117|34.4|14.2|14.9|0.805|0.805|1.5|1220|194|172|5.96|443|91.4|59.5|3.59|8.02|19900|49.9|149|38|96.3|4.15|11.25|5.5
HP14X102|102|102|30.1|14|14.8|0.705|0.705|1.38|1050|169|150|5.92|380|78.8|51.4|3.56|5.39|16800|49.2|128|33|83.3|4.1|11.25|5.5
HP14X89|89|89|26.1|13.8|14.7|0.615|0.615|1.31|904|146|131|5.88|326|67.7|44.3|3.53|3.59|14200|48.5|110|28.6|71.9|4.05|11.25|5.5
HP14X73|73|73|21.4|13.6|14.6|0.505|0.505|1.19|729|118|107|5.84|261|54.6|35.8|3.49|2.01|11200|47.8|88|23.3|58.3|4|11.25|5.5
HP12X89|89|89|25.9|12.4|12.3|0.72|0.72|1.32|693|127|112|5.17|224|56|36.4|2.94|4.92|7640|35.9|79.5|24.3|62.5|3.42|9.5|5.5
HP12X84|84|84|24.6|12.3|12.3|0.685|0.685|1.38|650|120|106|5.14|213|53.2|34.6|2.94|4.24|7140|35.6|75|23.1|59|3.41|9.5|5.5
HP12X74|74|74|21.8|12.1|12.2|0.605|0.61|1.31|569|105|93.8|5.11|186|46.6|30.4|2.92|2.98|6160|35.2|65.5|20.4|51.9|3.38|9.5|5.5
HP12X63|63|63|18.4|11.9|12.1|0.515|0.515|1.25|472|88.3|79.1|5.06|153|38.7|25.3|2.88|1.83|5000|34.6|54.1|17.1|43.3|3.33|9.5|5.5
HP12X53|53|53|15.5|11.8|12|0.435|0.435|1.13|393|74|66.7|5.03|127|32.2|21.1|2.86|1.12|4080|34.2|44.7|14.3|36.2|3.29|9.5|5.5
HP10X57|57|57|16.7|9.99|10.2|0.565|0.565|1.25|294|66.5|58.8|4.18|101|30.3|19.7|2.45|1.97|2240|24.1|34.8|12.9|32.8|2.84|7.5|5.5
HP10X42|42|42|12.4|9.7|10.1|0.415|0.42|1.13|210|48.3|43.4|4.13|71.7|21.8|14.2|2.41|0.813|1540|23.4|24.7|9.41|23.7|2.77|7.5|5.5
HP8X36|36|36|10.6|8.02|8.16|0.445|0.445|1.13|119|33.6|29.8|3.36|40.3|15.2|9.88|1.95|0.77|578|15.4|14|6.5|16.6|2.26|5.75|5.5