name|weight|mass|A|d|bf|tw|tf|kdes|y|yp|Ix|Zx|Sx|rx|Iy|Zy|Sy|ry|J|Cw|ro|H|WGi
WT6X115|115|115|33.8|7.53|12.9|1.29|2.07|2.67|1.82|1.31|106|39.4|18.5|1.77|371|88.4|57.5|3.31|41.6|148|3.83|0.958|5.5
WT6X105|105|105|30.9|7.36|12.8|1.18|1.9|2.5|1.72|1.21|92.1|34.5|16.4|1.73|332|79.7|51.9|3.28|32.1|112|3.79|0.958|5.5
WT6X95|95|95|28|7.19|12.7|1.06|1.74|2.33|1.62|1.1|79|29.8|14.2|1.68|295|71.2|46.5|3.25|24.3|82.1|3.73|0.96|5.5
WT6X85|85|85|25|7.02|12.6|0.96|1.56|2.16|1.52|0.994|67.8|25.6|12.3|1.65|259|62.9|41.2|3.22|17.7|58.3|3.69|0.96|5.5
WT6X76|76|76|22.4|6.86|12.5|0.87|1.4|2|1.43|0.896|58.5|22|10.8|1.62|227|55.6|36.4|3.19|12.8|41.3|3.65|0.96|5.5
WT6X68|68|68|20|6.71|12.4|0.79|1.25|1.85|1.35|0.805|50.6|19|9.46|1.59|199|48.9|32.1|3.16|9.21|28.9|3.61|0.959|5.5
WT6X60|60|60|17.6|6.56|12.3|0.71|1.11|1.7|1.28|0.716|43.4|16.2|8.22|1.57|172|42.7|28|3.13|6.42|19.7|3.57|0.959|5.5
WT6X53|53|53|15.6|6.45|12.2|0.61|0.99|1.59|1.19|0.637|36.3|13.6|6.92|1.53|151|37.5|24.7|3.11|4.55|13.6|3.53|0.961|5.5
WT6X48|48|48|14.1|6.36|12.2|0.55|0.9|1.5|1.13|0.58|32|11.9|6.12|1.51|135|33.7|22.2|3.09|3.42|10.1|3.51|0.962|5.5
WT6X43.5|43.5|43.5|12.8|6.27|12.1|0.515|0.81|1.41|1.1|0.527|28.9|10.7|5.6|1.5|120|30.2|19.9|3.07|2.54|7.34|3.49|0.96|5.5
WT6X39.5|39.5|39.5|11.6|6.19|12.1|0.47|0.735|1.33|1.06|0.48|25.8|9.49|5.03|1.49|108|27.1|17.9|3.05|1.91|5.43|3.47|0.96|5.5
WT6X36|36|36|10.6|6.13|12|0.43|0.67|1.27|1.02|0.439|23.2|8.48|4.54|1.48|97.5|24.6|16.2|3.04|1.46|4.07|3.45|0.96|5.5
WT6X32.5|32.5|32.5|9.54|6.06|12|0.39|0.605|1.2|0.985|0.398|20.6|7.5|4.06|1.47|87.2|22|14.5|3.02|1.09|2.97|3.43|0.96|5.5
WT6X29|29|29|8.52|6.1|10|0.36|0.64|1.24|1.03|0.426|19.1|6.97|3.76|1.5|53.5|16.2|10.7|2.51|1.05|2.08|3|0.944|5.5
WT6X26.5|26.5|26.5|7.78|6.03|10|0.345|0.575|1.18|1.02|0.389|17.7|6.46|3.54|1.51|47.9|14.5|9.58|2.48|0.788|1.53|3|0.939|5.5
WT6X25|25|25|7.3|6.1|8.08|0.37|0.64|1.14|1.17|0.452|18.7|6.88|3.79|1.6|28.2|10.6|6.97|1.96|0.855|1.23|2.67|0.899|5.5
WT6X22.5|22.5|22.5|6.56|6.03|8.05|0.335|0.575|1.08|1.13|0.408|16.6|6.1|3.39|1.59|25|9.47|6.21|1.95|0.627|0.885|2.66|0.898|5.5
WT6X20|20|20|5.84|5.97|8.01|0.295|0.515|1.02|1.09|0.365|14.4|5.28|2.95|1.57|22|8.38|5.5|1.94|0.452|0.62|2.63|0.901|5.5
WT6X17.5|17.5|17.5|5.17|6.25|6.56|0.3|0.52|0.82|1.3|0.394|16|5.71|3.23|1.76|12.2|5.73|3.73|1.54|0.369|0.437|2.56|0.834|3.5
WT6X15|15|15|4.4|6.17|6.52|0.26|0.44|0.74|1.27|0.337|13.5|4.83|2.75|1.75|10.2|4.78|3.12|1.52|0.228|0.267|2.54|0.83|3.5
WT6X13|13|13|3.82|6.11|6.49|0.23|0.38|0.68|1.25|0.295|11.7|4.2|2.4|1.75|8.66|4.08|2.67|1.51|0.15|0.174|2.54|0.827|3.5
WT6X11|11|11|3.24|6.16|4.03|0.26|0.425|0.725|1.63|0.402|11.7|4.63|2.59|1.9|2.33|1.83|1.15|0.847|0.146|0.137|2.52|0.683|2.25
WT6X9.5|9.5|9.5|2.79|6.08|4.01|0.235|0.35|0.65|1.65|0.348|10.1|4.11|2.28|1.9|1.88|1.49|0.939|0.821|0.0899|0.0934|2.54|0.665|2.25
WT6X8|8|8|2.36|6|3.99|0.22|0.265|0.565|1.74|0.639|8.7|3.72|2.04|1.92|1.41|1.13|0.706|0.773|0.0511|0.0678|2.62|0.624|2.25
WT6X7|7|7|2.08|5.96|3.97|0.2|0.225|0.525|1.76|0.76|7.67|3.32|1.83|1.92|1.18|0.947|0.593|0.753|0.035|0.0493|2.64|0.611|2.25
WT5X56|56|56|16.5|5.68|10.4|0.755|1.25|1.75|1.21|0.791|28.6|13.4|6.4|1.32|118|34.6|22.6|2.67|7.5|16.9|3.04|0.963|5.5
WT5X50|50|50|14.7|5.55|10.3|0.68|1.12|1.62|1.13|0.711|24.5|11.4|5.56|1.29|103|30.5|20|2.65|5.41|11.9|3|0.964|5.5
WT5X44|44|44|13|5.42|10.3|0.605|0.99|1.49|1.06|0.631|20.8|9.65|4.77|1.27|89.3|26.5|17.4|2.63|3.75|8.02|2.97|0.964|5.5
WT5X38.5|38.5|38.5|11.3|5.3|10.2|0.53|0.87|1.37|0.99|0.555|17.4|8.06|4.05|1.24|76.8|22.9|15.1|2.6|2.55|5.31|2.94|0.964|5.5
WT5X34|34|34|10|5.2|10.1|0.47|0.77|1.27|0.932|0.493|14.9|6.85|3.49|1.22|66.7|20|13.2|2.58|1.78|3.62|2.91|0.965|5.5
WT5X30|30|30|8.84|5.11|10.1|0.42|0.68|1.18|0.884|0.438|12.9|5.87|3.04|1.21|58.1|17.5|11.5|2.57|1.23|2.46|2.89|0.964|5.5
WT5X27|27|27|7.9|5.05|10|0.37|0.615|1.12|0.836|0.395|11.1|5.05|2.64|1.19|51.7|15.6|10.3|2.56|0.909|1.78|2.87|0.966|5.5
WT5X24.5|24.5|24.5|7.21|4.99|10|0.34|0.56|1.06|0.807|0.361|10|4.52|2.39|1.18|46.7|14.1|9.34|2.54|0.693|1.33|2.85|0.966|5.5
WT5X22.5|22.5|22.5|6.63|5.05|8.02|0.35|0.62|1.12|0.907|0.413|10.2|4.65|2.47|1.24|26.7|10.1|6.65|2.01|0.753|0.981|2.43|0.94|5.5
WT5X19.5|19.5|19.5|5.73|4.96|7.99|0.315|0.53|1.03|0.876|0.359|8.84|3.99|2.16|1.24|22.5|8.57|5.64|1.98|0.487|0.616|2.42|0.936|5.5
WT5X16.5|16.5|16.5|4.85|4.87|7.96|0.29|0.435|0.935|0.869|0.305|7.71|3.48|1.93|1.26|18.3|7|4.6|1.94|0.291|0.356|2.4|0.927|5.5
WT5X15|15|15|4.42|5.24|5.81|0.3|0.51|0.81|1.1|0.38|9.28|4.01|2.24|1.45|8.35|4.41|2.87|1.37|0.31|0.273|2.17|0.849|2.75
WT5X13|13|13|3.81|5.17|5.77|0.26|0.44|0.74|1.06|0.33|7.86|3.39|1.91|1.44|7.05|3.75|2.44|1.36|0.201|0.173|2.15|0.848|2.75
WT5X11|11|11|3.24|5.09|5.75|0.24|0.36|0.66|1.07|0.282|6.88|3.02|1.72|1.46|5.71|3.05|1.99|1.33|0.119|0.107|2.16|0.83|2.75
WT5X9.5|9.5|9.5|2.81|5.12|4.02|0.25|0.395|0.695|1.28|0.349|6.68|3.1|1.74|1.54|2.15|1.67|1.07|0.874|0.116|0.0796|2.08|0.729|2.25
WT5X8.5|8.5|8.5|2.5|5.06|4.01|0.24|0.33|0.63|1.32|0.311|6.06|2.9|1.62|1.56|1.78|1.4|0.887|0.844|0.0776|0.061|2.11|0.703|2.25
WT5X7.5|7.5|7.5|2.21|5|4|0.23|0.27|0.57|1.37|0.305|5.45|2.71|1.5|1.57|1.45|1.15|0.723|0.81|0.0518|0.0475|2.16|0.672|2.25
WT5X6|6|6|1.77|4.94|3.96|0.19|0.21|0.51|1.36|0.322|4.35|2.2|1.22|1.57|1.09|0.869|0.551|0.785|0.0272|0.0255|2.16|0.661|2.25
WT4X33.5|33.5|33.5|9.84|4.5|8.28|0.57|0.935|1.33|0.936|0.594|10.9|6.29|3.05|1.05|44.3|16.3|10.7|2.12|2.51|3.56|2.41|0.962|5.5
WT4X29|29|29|8.54|4.38|8.22|0.51|0.81|1.2|0.874|0.52|9.12|5.25|2.61|1.03|37.5|13.9|9.13|2.1|1.66|2.28|2.38|0.961|5.5
WT4X24|24|24|7.05|4.25|8.11|0.4|0.685|1.08|0.777|0.435|6.85|3.94|1.97|0.986|30.5|11.4|7.51|2.08|0.977|1.3|2.34|0.966|5.5
WT4X20|20|20|5.87|4.13|8.07|0.36|0.56|0.954|0.735|0.364|5.73|3.25|1.69|0.988|24.5|9.24|6.08|2.04|0.558|0.715|2.32|0.961|5.5
WT4X17.5|17.5|17.5|5.14|4.06|8.02|0.31|0.495|0.889|0.688|0.321|4.82|2.71|1.43|0.968|21.3|8.05|5.31|2.03|0.384|0.48|2.3|0.963|5.5
WT4X15.5|15.5|15.5|4.56|4|8|0.285|0.435|0.829|0.668|0.285|4.28|2.39|1.28|0.969|18.5|7.03|4.64|2.02|0.267|0.327|2.28|0.961|5.5
WT4X14|14|14|4.12|4.03|6.54|0.285|0.465|0.859|0.734|0.315|4.23|2.38|1.28|1.01|10.8|5.04|3.31|1.62|0.268|0.23|1.98|0.935|4
WT4X12|12|12|3.54|3.97|6.5|0.245|0.4|0.794|0.695|0.272|3.53|1.98|1.08|0.999|9.14|4.28|2.81|1.61|0.173|0.144|1.96|0.936|4
WT4X10.5|10.5|10.5|3.08|4.14|5.27|0.25|0.4|0.7|0.831|0.292|3.9|2.11|1.18|1.12|4.88|2.84|1.85|1.26|0.141|0.0916|1.8|0.877|2.75
WT4X9|9|9|2.63|4.07|5.25|0.23|0.33|0.63|0.834|0.251|3.41|1.86|1.05|1.14|3.98|2.33|1.52|1.23|0.0855|0.0562|1.8|0.863|2.75
WT4X7.5|7.5|7.5|2.22|4.06|4.02|0.245|0.315|0.615|0.998|0.276|3.28|1.91|1.07|1.22|1.7|1.33|0.849|0.876|0.0679|0.0382|1.72|0.76|2.25
WT4X6.5|6.5|6.5|1.92|4|4|0.23|0.255|0.555|1.03|0.24|2.89|1.74|0.974|1.23|1.36|1.07|0.682|0.843|0.0433|0.0269|1.74|0.733|2.25
WT4X5|5|5|1.48|3.95|3.94|0.17|0.205|0.505|0.953|0.188|2.15|1.27|0.717|1.2|1.05|0.826|0.531|0.84|0.0212|0.0114|1.7|0.749|2.25
WT3X12.5|12.5|12.5|3.67|3.19|6.08|0.32|0.455|0.705|0.61|0.302|2.29|1.68|0.886|0.789|8.53|4.28|2.81|1.52|0.229|0.171|1.76|0.953|3.5
WT3X10|10|10|2.94|3.1|6.02|0.26|0.365|0.615|0.56|0.244|1.76|1.29|0.693|0.774|6.64|3.36|2.21|1.5|0.12|0.0858|1.73|0.953|3.5
WT3X7.5|7.5|7.5|2.21|3|5.99|0.23|0.26|0.51|0.558|0.185|1.41|1.03|0.577|0.797|4.66|2.37|1.56|1.45|0.0504|0.0342|1.71|0.937|3.5
WT3X8|8|8|2.37|3.14|4.03|0.26|0.405|0.655|0.676|0.294|1.69|1.25|0.685|0.844|2.21|1.69|1.1|0.966|0.111|0.0426|1.37|0.88|2.25
WT3X6|6|6|1.78|3.02|4|0.23|0.28|0.53|0.677|0.222|1.32|1.01|0.564|0.862|1.5|1.16|0.748|0.918|0.0449|0.0178|1.37|0.846|2.25
WT3X4.5|4.5|4.5|1.34|2.95|3.94|0.17|0.215|0.465|0.623|0.17|0.95|0.72|0.408|0.842|1.1|0.856|0.557|0.905|0.0202|0.00736|1.34|0.852|2.25
WT3X4.25|4.25|4.25|1.26|2.92|3.94|0.17|0.195|0.445|0.637|0.16|0.905|0.7|0.397|0.848|0.995|0.778|0.505|0.89|0.0166|0.0062|1.34|0.839|2.25
WT2.5X9.5|9.5|9.5|2.78|2.58|5.03|0.27|0.43|0.73|0.487|0.276|1.01|0.97|0.485|0.604|4.56|2.76|1.81|1.28|0.157|0.0775|1.44|0.964|2.75
WT2.5X8|8|8|2.35|2.51|5|0.24|0.36|0.66|0.458|0.235|0.845|0.801|0.413|0.599|3.75|2.28|1.5|1.26|0.0958|0.0453|1.43|0.962|2.75
WT2X6.5|6.5|6.5|1.91|2.08|4.06|0.28|0.345|0.595|0.44|0.236|0.526|0.616|0.321|0.524|1.93|1.46|0.95|1|0.075|0.0233|1.16|0.947|2.75
MT6.25X6.2|6.2|6.2|1.82|6.27|3.75|0.155|0.228|0.563|1.74|0.372|7.29|2.92|1.61|2.01|1|0.839|0.536|0.746|0.0246|0.0284|2.69|0.634|0
MT6.25X5.8|5.8|5.8|1.7|6.25|3.5|0.155|0.211|0.563|1.84|0.808|6.94|2.86|1.57|2.03|0.756|0.684|0.432|0.669|0.0206|0.0268|2.75|0.602|0
MT6X5.9|5.9|5.9|1.74|6|3.07|0.177|0.225|0.563|1.89|1.13|6.61|2.89|1.61|1.96|0.543|0.575|0.354|0.561|0.0249|0.0337|2.71|0.567|0
MT6X5.4|5.4|5.4|1.59|5.99|3.07|0.16|0.21|0.563|1.86|1.05|6.03|2.63|1.46|1.95|0.506|0.532|0.33|0.566|0.0196|0.025|2.69|0.574|0
MT6X5|5|5|1.48|5.99|3.25|0.149|0.18|0.5|1.86|1.08|5.62|2.45|1.36|1.96|0.517|0.509|0.318|0.594|0.0145|0.0202|2.71|0.572|0
MT5X4.5|4.5|4.5|1.33|5|2.69|0.157|0.206|0.563|1.54|0.808|3.47|1.81|1|1.62|0.336|0.403|0.25|0.505|0.0156|0.0138|2.22|0.585|0
MT5X4|4|4|1.19|4.98|2.69|0.141|0.182|0.563|1.52|0.809|3.08|1.61|0.894|1.62|0.296|0.354|0.22|0.502|0.0112|0.00989|2.22|0.583|0
MT5X3.75|3.75|3.75|1.11|5|2.69|0.13|0.173|0.438|1.51|0.759|2.91|1.51|0.836|1.63|0.281|0.334|0.209|0.505|0.00932|0.00792|2.22|0.588|0
MT4X3.25|3.25|3.25|0.959|4|2.28|0.135|0.189|0.563|1.18|0.472|1.57|1.01|0.558|1.29|0.188|0.264|0.165|0.444|0.00917|0.00463|1.74|0.612|0
MT4X3.1|3.1|3.1|0.911|4|2.28|0.129|0.177|0.438|1.18|0.497|1.5|0.967|0.533|1.29|0.176|0.247|0.154|0.441|0.00778|0.00403|1.75|0.608|0
MT3X2.2|2.2|2.2|0.647|3|1.84|0.114|0.171|0.375|0.841|0.19|0.579|0.483|0.268|0.949|0.0897|0.155|0.0973|0.374|0.00494|0.00124|1.27|0.646|0
MT3X1.85|1.85|1.85|0.545|2.96|2|0.098|0.129|0.313|0.827|0.174|0.483|0.409|0.226|0.945|0.0863|0.136|0.0863|0.4|0.00265|0.000754|1.28|0.644|0
MT2.5X9.45|9.45|9.45|2.78|2.5|5|0.316|0.416|0.813|0.512|0.276|1.05|1.03|0.528|0.617|4.35|2.66|1.74|1.26|0.156|0.0732|1.43|0.955|2.75
MT2X3|3|3|0.875|1.9|3.8|0.13|0.16|0.5|0.341|0.112|0.208|0.241|0.133|0.493|0.732|0.588|0.385|0.926|0.00919|0.00193|1.08|0.942|0
ST12X60.5|60.5|60.5|17.8|12.3|8.05|0.8|1.09|2|3.63|1.26|259|54.5|30.1|3.82|41.5|18.1|10.3|1.53|6.38|27.5|5.14|0.64|4
ST12X53|53|53|15.6|12.3|7.87|0.62|1.09|2|3.28|1.02|216|43.3|24.1|3.72|38.4|16.7|9.76|1.57|5.05|15|4.88|0.686|4
ST12X50|50|50|14.7|12|7.25|0.745|0.87|1.75|3.84|2.16|215|47.5|26.3|3.83|23.7|12|6.55|1.27|3.76|19.5|5.28|0.584|4
ST12X45|45|45|13.2|12|7.13|0.625|0.87|1.75|3.6|1.42|190|41.1|22.6|3.79|22.3|11.2|6.27|1.3|3.01|12.1|5.11|0.615|4
ST12X40|40|40|11.7|12|7|0.5|0.87|1.75|3.3|0.909|162|33.6|18.6|3.72|21|10.4|6|1.34|2.44|6.94|4.88|0.656|4
ST10X48|48|48|14.1|10.2|7.2|0.8|0.92|1.75|3.13|1.35|143|36.9|20.3|3.18|25|12.5|6.93|1.33|4.16|15|4.36|0.625|4
ST10X43|43|43|12.7|10.2|7.06|0.66|0.92|1.75|2.91|0.972|124|31.1|17.2|3.13|23.3|11.6|6.59|1.36|3.3|9.17|4.21|0.659|4
ST10X37.5|37.5|37.5|11|10|6.39|0.635|0.795|1.63|3.07|1.34|109|28.6|15.8|3.15|14.8|8.36|4.62|1.16|2.28|7.21|4.29|0.613|3.5
ST10X33|33|33|9.7|10|6.26|0.505|0.795|1.63|2.81|0.841|92.9|23.4|12.9|3.1|13.7|7.7|4.39|1.19|1.78|4.02|4.1|0.654|3.5
ST9X35|35|35|10.3|9|6.25|0.711|0.691|1.5|2.94|1.78|84.5|25.1|14|2.87|12|7.17|3.84|1.08|2.02|7.03|4.02|0.582|3.5
ST9X27.35|27.35|27.35|8.02|9|6|0.461|0.691|1.5|2.51|0.737|62.3|17.3|9.6|2.79|10.4|6.06|3.45|1.14|1.16|2.26|3.71|0.66|3.5
ST7.5X25|25|25|7.34|7.5|5.64|0.55|0.622|1.38|2.25|0.826|40.5|14|7.72|2.35|7.79|4.99|2.76|1.03|1.05|2.02|3.22|0.635|3.5
ST7.5X21.45|21.45|21.45|6.3|7.5|5.5|0.411|0.622|1.38|2.01|0.605|32.9|10.8|5.99|2.29|7.13|4.54|2.59|1.06|0.765|0.995|3.04|0.689|3.5
ST6X25|25|25|7.33|6|5.48|0.687|0.659|1.44|1.84|0.758|25.1|11|6.04|1.85|7.79|5.16|2.84|1.03|1.36|1.97|2.6|0.662|3
ST6X20.4|20.4|20.4|5.96|6|5.25|0.462|0.659|1.44|1.58|0.577|18.9|7.71|4.27|1.78|6.74|4.43|2.57|1.06|0.842|0.787|2.42|0.732|3
ST6X17.5|17.5|17.5|5.12|6|5.08|0.428|0.544|1.19|1.65|0.543|17.2|7.12|3.95|1.83|4.92|3.4|1.94|0.98|0.524|0.556|2.49|0.695|3
ST6X15.9|15.9|15.9|4.65|6|5|0.35|0.544|1.19|1.51|0.48|14.8|5.94|3.3|1.78|4.66|3.22|1.87|1|0.438|0.364|2.39|0.731|3
ST5X17.5|17.5|17.5|5.14|5|4.94|0.594|0.491|1.13|1.56|0.673|12.5|6.58|3.62|1.56|4.15|3.1|1.68|0.899|0.633|0.725|2.23|0.653|2.75
ST5X12.7|12.7|12.7|3.72|5|4.66|0.311|0.491|1.13|1.2|0.403|7.79|3.7|2.05|1.45|3.36|2.49|1.44|0.95|0.3|0.173|1.98|0.767|2.75
ST4X11.5|11.5|11.5|3.38|4|4.17|0.441|0.425|1|1.15|0.439|5|3.19|1.76|1.22|2.13|1.84|1.02|0.795|0.271|0.168|1.73|0.704|2.25
ST4X9.2|9.2|9.2|2.7|4|4|0.271|0.425|1|0.942|0.336|3.49|2.07|1.14|1.14|1.84|1.59|0.922|0.827|0.167|0.0642|1.58|0.788|2.25
ST3X8.6|8.6|8.6|2.53|3|3.57|0.465|0.359|0.813|0.915|0.394|2.12|1.85|1.02|0.915|1.14|1.17|0.642|0.673|0.181|0.0772|1.35|0.705|0
ST3X6.25|6.25|6.25|1.83|3|3.33|0.232|0.359|0.813|0.692|0.271|1.26|1.01|0.547|0.831|0.901|0.93|0.541|0.702|0.083|0.0197|1.2|0.819|0
ST2.5X5|5|5|1.46|2.5|3|0.214|0.326|0.75|0.57|0.239|0.671|0.65|0.348|0.677|0.597|0.686|0.398|0.638|0.0568|0.01|1.02|0.839|0
ST2X4.75|4.75|4.75|1.4|2|2.8|0.326|0.293|0.75|0.553|0.25|0.462|0.592|0.319|0.575|0.444|0.565|0.317|0.564|0.059|0.01|0.903|0.797|0
ST2X3.85|3.85|3.85|1.13|2|2.66|0.193|0.293|0.75|0.448|0.204|0.307|0.381|0.198|0.522|0.374|0.485|0.281|0.576|0.0364|0.00457|0.834|0.869|0
ST1.5X3.75|3.75|3.75|1.1|1.5|2.51|0.349|0.26|0.625|0.432|0.219|0.2|0.351|0.187|0.426|0.289|0.411|0.23|0.513|0.0432|0.00496|0.732|0.83|0
ST1.5X2.85|2.85|2.85|0.83|1.5|2.33|0.17|0.26|0.625|0.329|0.171|0.114|0.196|0.097|0.37|0.223|0.328|0.192|0.518|0.0216|0.00189|0.667|0.911|0